ticker,status,order,aic,test_rmse,test_mae,test_mape,directional_accuracy,selection_method,model_path,error,error_type
AAPL,success,"(0, 0, 0)",-725.655980396341,,,,,,arimaxmodels\AAPL_arimax.pkl,,
ABBV,success,"(0, 0, 0)",-761.1864022348803,,,,,,arimaxmodels\ABBV_arimax.pkl,,
ABNB,success,"(0, 0, 5)",-575.0801683160362,,,,,,arimaxmodels\ABNB_arimax.pkl,,
ABT,success,"(4, 0, 6)",-744.2044503982688,,,,,,arimaxmodels\ABT_arimax.pkl,,
ACGL,success,"(1, 0, 2)",-665.6398260329012,,,,,,arimaxmodels\ACGL_arimax.pkl,,
ACN,success,"(1, 0, 1)",-688.5911253571916,,,,,,arimaxmodels\ACN_arimax.pkl,,
ADBE,success,"(1, 0, 0)",-601.724798666833,,,,,,arimaxmodels\ADBE_arimax.pkl,,
ADI,success,"(4, 0, 0)",-643.6716231978014,,,,,,arimaxmodels\ADI_arimax.pkl,,
ADM,success,"(6, 0, 4)",-694.285083087055,,,,,,arimaxmodels\ADM_arimax.pkl,,
ADP,success,"(0, 0, 3)",-709.3338596000125,,,,,,arimaxmodels\ADP_arimax.pkl,,
AEP,success,"(0, 0, 2)",-744.0854993569845,,,,,,arimaxmodels\AEP_arimax.pkl,,
AES,success,"(0, 0, 1)",-614.2812001221156,,,,,,arimaxmodels\AES_arimax.pkl,,
AFL,success,"(0, 0, 0)",-774.5239862520355,,,,,,arimaxmodels\AFL_arimax.pkl,,
AIG,success,"(0, 0, 0)",-684.1216542974923,,,,,,arimaxmodels\AIG_arimax.pkl,,
AIZ,success,"(0, 0, 1)",-690.9283711994349,,,,,,arimaxmodels\AIZ_arimax.pkl,,
AJG,success,"(0, 0, 4)",-740.1459699455485,,,,,,arimaxmodels\AJG_arimax.pkl,,
AKAM,success,"(2, 0, 2)",-711.766629143328,,,,,,arimaxmodels\AKAM_arimax.pkl,,
ALGN,success,"(0, 0, 1)",-548.7949876491343,,,,,,arimaxmodels\ALGN_arimax.pkl,,
ALL,success,"(2, 0, 2)",-668.6296000642761,,,,,,arimaxmodels\ALL_arimax.pkl,,
AMAT,success,"(6, 0, 5)",-587.456197965565,,,,,,arimaxmodels\AMAT_arimax.pkl,,
AMCR,success,"(0, 0, 0)",-714.5418887290078,,,,,,arimaxmodels\AMCR_arimax.pkl,,
AMD,success,"(1, 0, 3)",-522.4834335554842,,,,,,arimaxmodels\AMD_arimax.pkl,,
AME,success,"(1, 0, 4)",-744.0501413969246,,,,,,arimaxmodels\AME_arimax.pkl,,
AMGN,success,"(3, 0, 4)",-643.6787961712105,,,,,,arimaxmodels\AMGN_arimax.pkl,,
AMT,success,"(1, 0, 0)",-668.5104783387611,,,,,,arimaxmodels\AMT_arimax.pkl,,
AMZN,success,"(2, 0, 2)",-606.8159655332299,,,,,,arimaxmodels\AMZN_arimax.pkl,,
ANET,success,"(3, 0, 4)",-541.4610551404232,,,,,,arimaxmodels\ANET_arimax.pkl,,
ANSS,success,"(1, 0, 1)",128.6810857434761,,,,,,arimaxmodels\ANSS_arimax.pkl,,
AON,success,"(2, 0, 5)",-755.2788791629984,,,,,,arimaxmodels\AON_arimax.pkl,,
APH,success,"(1, 0, 0)",-705.9312245040187,,,,,,arimaxmodels\APH_arimax.pkl,,
APO,success,"(6, 0, 4)",-617.7784455712136,,,,,,arimaxmodels\APO_arimax.pkl,,
APTV,success,"(2, 0, 4)",-568.054504132423,,,,,,arimaxmodels\APTV_arimax.pkl,,
ARE,success,"(0, 0, 0)",-639.5301036508711,,,,,,arimaxmodels\ARE_arimax.pkl,,
AVB,success,"(1, 0, 1)",-725.4113364668136,,,,,,arimaxmodels\AVB_arimax.pkl,,
AVGO,success,"(0, 0, 0)",-587.5148927936648,,,,,,arimaxmodels\AVGO_arimax.pkl,,
AWK,success,"(2, 0, 3)",-693.2260120046178,,,,,,arimaxmodels\AWK_arimax.pkl,,
AXON,success,"(5, 0, 3)",-620.5184747983615,,,,,,arimaxmodels\AXON_arimax.pkl,,
AXP,success,"(0, 0, 4)",-669.4116017973195,,,,,,arimaxmodels\AXP_arimax.pkl,,
AZO,success,"(0, 0, 0)",-702.0020217582874,,,,,,arimaxmodels\AZO_arimax.pkl,,
BAC,success,"(0, 0, 0)",-692.8190317024005,,,,,,arimaxmodels\BAC_arimax.pkl,,
BALL,success,"(0, 0, 0)",-640.3606910770684,,,,,,arimaxmodels\BALL_arimax.pkl,,
BA,success,"(2, 0, 1)",-619.3564221805581,,,,,,arimaxmodels\BA_arimax.pkl,,
BBWI,success,"(2, 0, 2)",-540.0429360310497,,,,,,arimaxmodels\BBWI_arimax.pkl,,
BDX,success,"(4, 0, 3)",-726.522788217513,,,,,,arimaxmodels\BDX_arimax.pkl,,
BIIB,success,"(2, 0, 1)",-644.2423838140475,,,,,,arimaxmodels\BIIB_arimax.pkl,,
